,Power Industry,Buildings,Transport,Other industrial combustion,Other sectors,Total
1970,27.047808,35.88416,11.413301,50.74156,15.272869,187.65717
1971,29.284933,33.06624,11.83067,43.790886,12.166234,175.03587
1972,32.564274,36.309933,12.646909,46.4416,13.717597,190.63716
1973,35.60497,36.831837,12.94921,47.68675,13.476537,196.33034
1974,38.689392,33.134407,12.561368,46.16911,14.476633,190.72668
1975,28.639837,34.546577,13.431391,38.671806,12.557106,175.82469
1976,31.741705,32.452293,14.274639,46.070038,13.095194,184.36081
1977,30.482676,32.81098,14.976878,45.064945,11.750609,182.87395
1978,32.557793,36.032528,15.376708,44.792755,10.875439,191.04446
1979,34.649837,38.221363,16.280945,43.172794,16.56487,203.39212
1980,34.830585,33.673267,15.853882,41.184666,12.4491415,187.51869
1981,33.11777,30.229958,15.444192,36.284107,10.995384,171.74556
1982,30.997734,27.690851,15.641148,34.366688,9.6364765,161.6649
1983,26.747053,25.906712,15.991695,31.288055,8.712308,150.54424
1984,25.631687,26.069191,16.021036,34.155815,9.568025,153.53598
1985,21.943869,29.379702,16.420605,33.241013,8.030635,154.81613
1986,19.558365,30.764048,17.911772,33.035572,8.318415,158.26399
1987,20.627712,30.136702,18.459175,32.10951,8.3717375,158.30072
1988,22.369087,27.657707,19.948586,33.053158,9.002657,159.6375
1989,23.862494,25.834686,20.39339,34.280586,8.739156,159.3384
1990,25.894283,26.121191,20.344635,33.91958,9.722937,162.46844
1991,26.017906,29.157175,20.610643,35.169777,9.048972,169.7723
1992,25.285799,29.58463,21.469133,32.832348,8.799815,169.02548
1993,25.792253,29.04104,22.188848,30.134085,8.883911,167.27002
1994,27.803015,28.999458,22.88537,32.289917,9.311675,173.17427
1995,28.100412,30.614407,22.840628,29.88623,10.988213,175.88492
1996,27.29943,35.41557,23.435238,30.555742,10.680361,186.23715
1997,25.934052,32.516254,23.599735,31.507078,10.614047,180.28716
1998,27.885855,31.925446,24.17253,32.21149,11.182904,183.4762
1999,25.22332,30.152689,24.398409,32.56179,10.8033285,177.69063
2000,26.069138,28.844461,24.500053,34.347065,11.121277,178.22652
2001,24.030989,29.811241,25.253056,35.87373,10.067089,180.1004
2002,24.113272,28.23762,25.22556,30.008379,10.891785,171.93979
2003,25.15608,30.76015,26.005835,30.506142,11.044333,180.23853
2004,24.833345,31.357464,26.883718,27.97561,11.268398,180.55972
2005,25.391966,31.032715,26.038305,24.912863,11.327545,175.77441
2006,24.800724,28.155449,26.643019,25.830418,12.059231,172.28731
2007,24.255814,24.476017,27.384882,25.668924,12.087655,165.73419
2008,23.08388,28.495602,27.252064,24.862064,11.8081455,171.24942
2009,21.218615,26.331047,26.63757,22.562225,11.102999,160.82108
2010,23.025328,29.01259,25.893276,25.720762,12.238293,170.79611
2011,19.707733,23.927084,25.62658,23.520779,12.358344,154.69418
2012,19.669014,24.669456,24.755453,23.203127,11.49072,153.21268
2013,17.773651,27.272907,24.31811,24.095829,11.838282,156.88979
2014,16.509085,21.793146,24.56902,24.465149,11.778512,145.47708
2015,17.449684,24.418865,26.323526,24.292902,11.487306,154.71468
2016,16.241682,23.920235,26.02381,24.989456,11.989513,153.10873
2017,16.162077,24.101875,26.056557,25.020819,12.48033,153.98009
2018,16.573088,24.587677,26.315216,25.647726,12.628155,156.65475
