"All products","Product Group","Product Level 1","Indicator Group","Year","Gigawatthour"
"All products","Oil and petroleum products","Heavy fuel oil","Gross electricity production","2011",105
"All products","Oil and petroleum products","Heavy fuel oil","Gross electricity production","2012",99
"All products","Oil and petroleum products","Heavy fuel oil","Gross electricity production","2013",47
"All products","Oil and petroleum products","Heavy fuel oil","Gross electricity production","2014",30.2
"All products","Oil and petroleum products","Heavy fuel oil","Gross electricity production","2015",29.1
"All products","Oil and petroleum products","Heavy fuel oil","Gross electricity production","2016",13.9
"All products","Oil and petroleum products","Heavy fuel oil","Gross electricity production","2017",3
"All products","Oil and petroleum products","Heavy fuel oil","Gross electricity production","2018",0.7
"All products","Oil and petroleum products","Other kerosene","Gross electricity production","2011",10
"All products","Oil and petroleum products","Other kerosene","Gross electricity production","2012",6
"All products","Oil and petroleum products","Other kerosene","Gross electricity production","2013",3
"All products","Oil and petroleum products","Other kerosene","Gross electricity production","2014",1.6
"All products","Oil and petroleum products","Other kerosene","Gross electricity production","2015",6.1
"All products","Oil and petroleum products","Other kerosene","Gross electricity production","2016",6
"All products","Oil and petroleum products","Other kerosene","Gross electricity production","2017",11.1
"All products","Oil and petroleum products","Other kerosene","Gross electricity production","2018",4.3
"All products","Manufactered gases","Coke oven gas","Gross electricity production","2011",56
"All products","Manufactered gases","Coke oven gas","Gross electricity production","2012",16
"All products","Manufactered gases","Coke oven gas","Gross electricity production","2013",39
"All products","Manufactered gases","Coke oven gas","Gross electricity production","2014",35
"All products","Manufactered gases","Coke oven gas","Gross electricity production","2015",15
"All products","Manufactered gases","Coke oven gas","Gross electricity production","2016",12
"All products","Manufactered gases","Coke oven gas","Gross electricity production","2017",6.4
"All products","Manufactered gases","Coke oven gas","Gross electricity production","2018",8.1
"All products","Oil and petroleum products","LPG","Gross electricity production","2011",
"All products","Oil and petroleum products","LPG","Gross electricity production","2012",
"All products","Oil and petroleum products","LPG","Gross electricity production","2013",
"All products","Oil and petroleum products","LPG","Gross electricity production","2014",1
"All products","Oil and petroleum products","LPG","Gross electricity production","2015",
"All products","Oil and petroleum products","LPG","Gross electricity production","2016",9
"All products","Oil and petroleum products","LPG","Gross electricity production","2017",10.3
"All products","Oil and petroleum products","LPG","Gross electricity production","2018",8.5
"All products","Other sources","Other sources","Gross electricity production","2011",
"All products","Other sources","Other sources","Gross electricity production","2012",
"All products","Other sources","Other sources","Gross electricity production","2013",11
"All products","Other sources","Other sources","Gross electricity production","2014",8
"All products","Other sources","Other sources","Gross electricity production","2015",10.6
"All products","Other sources","Other sources","Gross electricity production","2016",11.4
"All products","Other sources","Other sources","Gross electricity production","2017",10.8
"All products","Other sources","Other sources","Gross electricity production","2018",9.4
"All products","Renewables and biofuels","Biodiesel","Gross electricity production","2011",24
"All products","Renewables and biofuels","Biodiesel","Gross electricity production","2012",20
"All products","Renewables and biofuels","Biodiesel","Gross electricity production","2013",16
"All products","Renewables and biofuels","Biodiesel","Gross electricity production","2014",12.9
"All products","Renewables and biofuels","Biodiesel","Gross electricity production","2015",13.7
"All products","Renewables and biofuels","Biodiesel","Gross electricity production","2016",14.2
"All products","Renewables and biofuels","Biodiesel","Gross electricity production","2017",11.2
"All products","Renewables and biofuels","Biodiesel","Gross electricity production","2018",11.5
"All products","Oil and petroleum products","Gasoil/diesel","Gross electricity production","2011",63
"All products","Oil and petroleum products","Gasoil/diesel","Gross electricity production","2012",19
"All products","Oil and petroleum products","Gasoil/diesel","Gross electricity production","2013",17
"All products","Oil and petroleum products","Gasoil/diesel","Gross electricity production","2014",16.7
"All products","Oil and petroleum products","Gasoil/diesel","Gross electricity production","2015",17.7
"All products","Oil and petroleum products","Gasoil/diesel","Gross electricity production","2016",8.9
"All products","Oil and petroleum products","Gasoil/diesel","Gross electricity production","2017",9.6
"All products","Oil and petroleum products","Gasoil/diesel","Gross electricity production","2018",15.6
"All products","Renewables and biofuels","Other liquid biofuels","Gross electricity production","2011",201
"All products","Renewables and biofuels","Other liquid biofuels","Gross electricity production","2012",128
"All products","Renewables and biofuels","Other liquid biofuels","Gross electricity production","2013",110
"All products","Renewables and biofuels","Other liquid biofuels","Gross electricity production","2014",77.1
"All products","Renewables and biofuels","Other liquid biofuels","Gross electricity production","2015",116.1
"All products","Renewables and biofuels","Other liquid biofuels","Gross electricity production","2016",17
