"Product group","Product","Year","Average price incl. VAT"
"Gasoline","Euro Super 95 E5 (€/L)","2013",1.651
"Gasoline","Euro Super 95 E5 (€/L)","2014",1.596
"Gasoline","Euro Super 95 E5 (€/L)","2015",1.43
"Gasoline","Euro Super 95 E5 (€/L)","2016",1.337
"Gasoline","Euro Super 95 E5 (€/L)","2017",1.405
"Gasoline","Euro Super 95 E5 (€/L)","2018",1.469
"Gasoline","Euro Super 95 E5 (€/L)","2019",1.457
"Gasoline","Euro Super 95 E5 (€/L)","2020",1.541
"Gasoline","Euro Super 95 E10 (€/L)","2013",
"Gasoline","Euro Super 95 E10 (€/L)","2014",1.574
"Gasoline","Euro Super 95 E10 (€/L)","2015",1.44
"Gasoline","Euro Super 95 E10 (€/L)","2016",1.349
"Gasoline","Euro Super 95 E10 (€/L)","2017",1.424
"Gasoline","Euro Super 95 E10 (€/L)","2018",1.478
"Gasoline","Euro Super 95 E10 (€/L)","2019",1.473
"Gasoline","Euro Super 95 E10 (€/L)","2020",1.493
"Gasoline","Super Plus 98 E5 (€/L)","2013",1.705
"Gasoline","Super Plus 98 E5 (€/L)","2014",1.644
"Gasoline","Super Plus 98 E5 (€/L)","2015",1.497
"Gasoline","Super Plus 98 E5 (€/L)","2016",1.402
"Gasoline","Super Plus 98 E5 (€/L)","2017",1.486
"Gasoline","Super Plus 98 E5 (€/L)","2018",1.551
"Gasoline","Super Plus 98 E5 (€/L)","2019",1.531
"Gasoline","Super Plus 98 E5 (€/L)","2020",1.584
"Gasoline","Super Plus 98 E10 (€/L)","2013",
"Gasoline","Super Plus 98 E10 (€/L)","2014",1.623
"Gasoline","Super Plus 98 E10 (€/L)","2015",1.503
"Gasoline","Super Plus 98 E10 (€/L)","2016",1.41
"Gasoline","Super Plus 98 E10 (€/L)","2017",1.495
"Gasoline","Super Plus 98 E10 (€/L)","2018",1.559
"Gasoline","Super Plus 98 E10 (€/L)","2019",1.54
"Gasoline","Super Plus 98 E10 (€/L)","2020",1.551
"Road transport diesel","Road Diesel B7 (€/L)","2013",1.476
"Road transport diesel","Road Diesel B7 (€/L)","2014",1.415
"Road transport diesel","Road Diesel B7 (€/L)","2015",1.224
"Road transport diesel","Road Diesel B7 (€/L)","2016",1.187
"Road transport diesel","Road Diesel B7 (€/L)","2017",1.328
"Road transport diesel","Road Diesel B7 (€/L)","2018",1.504
"Road transport diesel","Road Diesel B7 (€/L)","2019",1.522
"Road transport diesel","Road Diesel B7 (€/L)","2020",1.554
"Road transport diesel","Road Diesel B10 (€/L)","2013",
"Road transport diesel","Road Diesel B10 (€/L)","2014",
"Road transport diesel","Road Diesel B10 (€/L)","2015",
"Road transport diesel","Road Diesel B10 (€/L)","2016",
"Road transport diesel","Road Diesel B10 (€/L)","2017",
"Road transport diesel","Road Diesel B10 (€/L)","2018",1.579
"Road transport diesel","Road Diesel B10 (€/L)","2019",1.531
"Road transport diesel","Road Diesel B10 (€/L)","2020",1.543
"Road transport diesel","Road Diesel B20 (€/L)","2013",
"Road transport diesel","Road Diesel B20 (€/L)","2014",
"Road transport diesel","Road Diesel B20 (€/L)","2015",
"Road transport diesel","Road Diesel B20 (€/L)","2016",
"Road transport diesel","Road Diesel B20 (€/L)","2017",
"Road transport diesel","Road Diesel B20 (€/L)","2018",1.597
"Road transport diesel","Road Diesel B20 (€/L)","2019",1.545
"Road transport diesel","Road Diesel B20 (€/L)","2020",1.568
"Road transport diesel","Road Diesel B30 (€/L)","2013",
"Road transport diesel","Road Diesel B30 (€/L)","2014",
"Road transport diesel","Road Diesel B30 (€/L)","2015",
"Road transport diesel","Road Diesel B30 (€/L)","2016",
"Road transport diesel","Road Diesel B30 (€/L)","2017",
"Road transport diesel","Road Diesel B30 (€/L)","2018",1.635
"Road transport diesel","Road Diesel B30 (€/L)","2019",1.576
"Road transport diesel","Road Diesel B30 (€/L)","2020",1.618
"Road transport diesel","Road Diesel XTL (€/L)","2013",
"Road transport diesel","Road Diesel XTL (€/L)","2014",
"Road transport diesel","Road Diesel XTL (€/L)","2015",
"Road transport diesel","Road Diesel XTL (€/L)","2016",
"Road transport diesel","Road Diesel XTL (€/L)","2017",
"Road transport diesel","Road Diesel XTL (€/L)","2018",1.999
"Road transport diesel","Road Diesel XTL (€/L)","2019",2.007
"Road transport diesel","Road Diesel XTL (€/L)","2020",2.439
" Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)","2013",0.884
" Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)","2014",0.819
" Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)","2015",0.61
" Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)","2016",0.509
" Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)","2017",0.594
" Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)","2018",0.71
" Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)","2019",0.702
" Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)","2020",0.685
" Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)","2013",0.857
" Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)","2014",0.792
" Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)","2015",0.583
" Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)","2016",0.483
" Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)","2017",0.567
