"Leeftijdsklasse","Geslacht","SumOfSumOfAantal"
"35-39 year","Men",375832
"70-74 year","Men",249917
"45-49 year","Men",393030
"5-9 year","Men",339657
"90-94 year","Men",26049
"20-24 year","Men",338535
"50-54 year","Men",406065
"25-29 year","Men",372076
"10-14 year","Men",335209
"95-99 year","Men",4641
"60-64 year","Men",349903
"55-59 year","Men",395680
"65-69 year","Men",298531
"75-79 year","Men",165270
"0-4 jaar","Men",314124
"100+","Men",108
"30-34 year","Men",366079
"40-44 year","Men",367726
"80-84 year","Men",131151
"15-19 year","Men",321799
"85-89 year","Men",76744
"80-84 year","Women",188231
"95-99 year","Women",16412
"40-44 year","Women",362357
"30-34 year","Women",367695
"50-54 year","Women",396423
"35-39 year","Women",373952
"90-94 year","Women",63748
"100+","Women",432
"85-89 year","Women",138525
"60-64 year","Women",360317
"70-74 year","Women",281584
"25-29 year","Women",370967
"15-19 year","Women",306978
"75-79 year","Women",206033
"0-4 jaar","Women",299950
"55-59 year","Women",395329
"65-69 year","Women",316977
"20-24 year","Women",328480
"45-49 year","Women",383781
"10-14 year","Women",319591
"5-9 year","Women",324571
