Years,population,gdp per capita,Carbon intensity of fossil energy,primary intensity,nuclear consumption,renewable consumption,fossil consumption
1980,9848382,12878.187920847406,3.2116265892777096,3.163010197158797e-10,1.0239896818572656,0.0,39.092251701726
1981,9859242,10622.522325036143,3.134417865538201,3.6061016247926047e-10,1.0506448839208942,0.0,36.716064014725546
1982,9858982,9341.322119159482,3.21505114640853,3.7992162871622405e-10,1.2684436801375751,0.0,33.72079076288015
1983,9856303,8845.531499871413,3.129140780345238,3.8663720799014834e-10,1.9631986242476354,0.0,31.7454719915287
1984,9855520,8457.141772318639,3.145202809658471,4.135097853838325e-10,2.2664660361134996,0.0,32.199380176376295
1985,9855372,8753.425490998878,3.1008044316896397,4.0735501572552043e-10,2.811006018916595,0.0,32.3308042182372
1986,9858308,12174.379940159202,3.1155022526252503,2.954013780499626e-10,3.207394668959587,0.0,32.24632044972695
1987,9861823,15148.761407874588,3.0104082568232085,2.4662799308020496e-10,3.4190885640584696,0.0,33.4257533913977
1988,9870234,16443.288331923133,2.999357389116228,2.3180348064982e-10,3.5156491831470333,0.0,34.1058479296933
1989,9901664,16585.197894066798,2.9498702247240294,2.343829246120681e-10,3.3572656921754085,0.0,35.13334591174965
1990,9937697,20661.904635090206,2.9289558122823474,1.9295076107390151e-10,3.673430782459157,0.07773000859845228,35.86775620153085
1991,9967379,21119.995466330616,2.9445638761814004,1.9458933457829253e-10,3.685382631126397,0.08486672398968186,37.192945918369745
1992,10004486,23467.637624787818,2.8963405667403785,1.743095671043024e-10,3.736543422184007,0.1001719690455718,37.0879727451709
1993,10045158,22371.15589345145,2.874681005262037,1.792994438319533e-10,3.605073086844368,0.0883920894239037,36.59902779035815
1994,10084475,24283.27998963506,2.8176987947388503,1.7376173748272784e-10,3.4930352536543423,0.10257953568357696,38.95587711679925
1995,10115603,28473.397818822865,2.7632951322457977,1.5002103677780345e-10,3.55597592433362,0.10653482373172829,39.54738664168115
1996,10136811,27543.320401727527,2.7178564716110225,1.6463889340435001e-10,3.726225279449699,0.10386930352536543,42.13732042005729
1997,10156637,24881.075440703353,2.6800834755033978,1.812325536676118e-10,4.076354256233878,0.11049011177987962,41.61208112335105
1998,10181245,25392.605681429824,2.6656980130341106,1.816287735957636e-10,3.969475494411006,0.129664660361135,42.8570451121607
1999,10203008,25302.19852682552,2.6343139414913903,1.7878625345586483e-10,4.214703353396389,0.1291487532244196,41.81134498253574
2000,10226419,23097.48240230525,2.6172379880049204,1.989113362994601e-10,4.1407566638005155,0.14746345657781598,42.695539156980146
2001,10251250,23074.385810427997,2.665601853675999,1.9615319397852087e-10,3.9852966466036115,0.14453998280309543,42.2684943907212
2002,10286570,24999.37495593079,2.4830180414852703,1.8133908555717632e-10,4.072226999140154,0.13301805674978504,42.427518946654
2003,10332785,30715.98950095459,2.472357131455258,1.5307116663633395e-10,4.073860705073087,0.12072226999140154,44.38740649713695
2004,10376133,35517.75986760424,2.4415643657183232,1.3193774898802847e-10,4.0680997420464315,0.15047291487532244,44.4053695746426
2005,10421137,36998.93292708406,2.39338980164577,1.2515068963884697e-10,4.092433361994841,0.1575236457437661,44.0045131501683
2006,10478617,38928.61796865645,2.3633580220094323,1.168895325387837e-10,4.0107480653482375,0.17162510748065346,43.49898028255225
2007,10547958,44589.12843962567,2.269486681325887,1.013122466489331e-10,4.146775580395529,0.20292347377472053,43.2999077758805
2008,10625700,48488.43127906679,2.2143897827991057,9.634485811353266e-11,3.9181427343078243,0.20945829750644882,45.51153630803354
2009,10709973,44943.71082213186,2.215764547100219,9.65677701594447e-11,4.060361134995701,0.2509888220120378,42.1711531228745
2010,10796493,44547.02369491954,2.170205770354827,1.0534065997844662e-10,4.122441960447119,0.30266552020636284,46.23865458785195
2011,10895586,47968.55526481926,2.1210343509151763,8.923873435078527e-11,4.14737747205503,0.42166809974204644,42.07117907425565
2012,11038264,44951.02311906112,2.1483082437205017,9.145622165010625e-11,3.4647463456577814,0.5638865004299226,41.35023047072445
2013,11106932,46965.50896393738,2.137987762014624,8.927174321397963e-11,3.666723989681857,0.6889939810834049,42.212236479295
2014,11159407,47912.767750773935,2.1157862274670878,8.116623474193678e-11,2.8979363714531385,0.7704213241616509,39.72944851835585
2015,11209057,41230.02312717493,2.1417269543008293,9.713327771942151e-11,2.2444539982803096,0.8637145313843508,41.7819446219804
2016,11274196,42225.34654128206,2.114123860110381,9.77391453566378e-11,3.742304385210662,0.8613929492691316,41.9256906713934
2017,11331422,44390.236670686965,2.0863549346953376,9.225531527815728e-11,3.6308684436801375,0.96268271711092,41.811287978542495
2018,11375158,47714.598083250276,2.1411787825618087,8.528568302410674e-11,2.4588993981083407,1.098366294067068,42.73248476677905
