TIME,pop,gdpc,nrg_int,co2_int,co2
1990,475187711.0,24884.930431777724,0.00013260288328864668,2.811504920667185,4408526411.17188
1991,476842235.0,25189.415445265455,0.0001307795750788219,2.775090971920385,4359231675.36123
1992,477925130.0,25388.424353018225,0.0001260446546285583,2.7485638438415037,4203643499.5189104
1993,479561788.0,25245.63134124252,0.0001269290611462351,2.6812804051951,4120350003.91274
1994,480893003.0,25875.206549877166,0.00012275271669382617,2.686623417507319,4103648856.5668797
1995,481904006.0,26519.50073862802,0.00012264430030077555,2.6482475150539413,4150800147.9906697
1996,482736385.0,26994.324306687595,0.00012484103785136106,2.621229126512347,4264271527.22197
1997,483512803.0,27724.60597606554,0.000119886507587658,2.5954701303741268,4171187430.63678
1998,485877558.0,28447.879357947833,0.00011711273999024043,2.572081077802124,4163566772.22004
1999,486577954.0,29267.26928601167,0.00011299922244973296,2.5475985122368727,4099596116.93443
2000,487259080.0,30348.613826592624,0.00010951122241860552,2.5451605432508155,4121664228.1312
2001,488240527.0,30984.504952797783,0.00010972681010450709,2.522093500846105,4186511845.3201103
2002,488962706.0,31339.263865447236,0.00010814129453743702,2.5116429753679896,4162114242.0690503
2003,490691578.0,31624.37591639264,0.00010949925557019416,2.512179391450716,4268668045.1964
2004,492555798.0,32313.967704387065,0.00010777420567135771,2.4919135820592695,4274580793.66493
2005,494598322.0,32861.06952186223,0.00010591268006364126,2.4693594497237323,4250760172.00536
2006,496436597.0,33848.795096237634,0.00010304835792931898,2.4644619679757325,4267467280.0641003
2007,498300775.0,34750.33690623761,9.84272998521163e-05,2.4766774437983967,4221196819.41944
2008,500297033.0,34790.13868583346,9.772412084632596e-05,2.425157391697041,4125017437.75071
2009,502090235.0,33169.89838424501,9.609232261256432e-05,2.371341427861114,3794973043.28124
2010,503170618.0,33816.296284989956,9.778575056989336e-05,2.35745025510074,3922468133.86182
2011,502964837.0,34436.07134891579,9.259528785390658e-05,2.3497688680112914,3768471668.8372703
2012,504047749.0,34216.80151691938,9.238438816930348e-05,2.3368603068665124,3723423444.7714005
2013,505163053.0,34231.644064880966,9.121820485367881e-05,2.302334575583655,3631694379.33091
2014,507235091.0,34684.6516042164,8.596193235218924e-05,2.281836437306134,3450939199.10902
2015,508520205.0,35411.00887677295,8.538854179600718e-05,2.27108223745564,3492038082.35166
2016,510181874.0,36015.430430603265,8.408052671359201e-05,2.2526239450599013,3480148325.2872
2017,511378572.0,36864.54008169627,8.287825615832311e-05,2.256130088020148,3524975379.85581
2018,512372000.0,37534.39102754015,8.06966038830255e-05,2.227743361064641,3457284972.7463098
