Total fossil Mt CO2 from EDGAR,
date,EU28
1970,"4198,2013144782"
1971,"4196,38830105959"
1972,"4318,77654048646"
1973,"4537,78091527049"
1974,"4438,2109539575"
1975,"4327,97559439463"
1976,"4584,73202259381"
1977,"4579,13704351358"
1978,"4713,58998015579"
1979,"4893,96763794493"
1980,"4754,26032940776"
1981,"4558,50141322264"
1982,"4445,77507355375"
1983,"4415,39388200804"
1984,"4428,96592846118"
1985,"4471,93980405285"
1986,"4493,48530449999"
1987,"4541,09912423996"
1988,"4535,33243240007"
1989,"4533,93529546878"
1990,"4408,52641117188"
1991,"4359,23167536123"
1992,"4203,64349951891"
1993,"4120,35000391274"
1994,"4103,64885656688"
1995,"4150,80014799067"
1996,"4264,27152722197"
1997,"4171,18743063678"
1998,"4163,56677222004"
1999,"4099,59611693443"
2000,"4121,6642281312"
2001,"4186,51184532011"
2002,"4162,11424206905"
2003,"4268,6680451964"
2004,"4274,58079366493"
2005,"4250,76017200536"
2006,"4267,4672800641"
2007,"4221,19681941944"
2008,"4125,01743775071"
2009,"3794,97304328124"
2010,"3922,46813386182"
2011,"3768,47166883727"
2012,"3723,4234447714"
2013,"3631,69437933091"
2014,"3450,93919910902"
2015,"3492,03808235166"
2016,"3480,1483252872"
2017,"3524,97537985581"
2018,"3457,28497274631"
