"TIME","GEO","NRG_BAL","SIEC","UNIT","Value","Flag and Footnotes"
"1990","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,568,030.836",""
"1991","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,570,842.801",""
"1992","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,529,396.346",""
"1993","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,536,709.848",""
"1994","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,527,437.314",""
"1995","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,567,376.208",""
"1996","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,626,821.358",""
"1997","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,607,102.845",""
"1998","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,618,754.093",""
"1999","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,609,200.232",""
"2000","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,619,412.276",""
"2001","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,659,935.226",""
"2002","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,657,128.136",""
"2003","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,699,189.182",""
"2004","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,715,380.832",""
"2005","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,721,401.950",""
"2006","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,731,602.003",""
"2007","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,704,378.917",""
"2008","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,700,927.722",""
"2009","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,600,348.646",""
"2010","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,663,860.404",""
"2011","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,603,762.702",""
"2012","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,593,344.469",""
"2013","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,577,396.447",""
"2014","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,512,351.693",""
"2015","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,537,609.702",""
"2016","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,544,930.894",""
"2017","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,562,398.994",""
"2018","European Union - 28 countries (2013-2020)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,551,922.467",""
