,0,1,2,3,4,5,6,7,8,9,10,11,12
0,7.746198709437799e-05,7.452777296320952e-05,7.186898463164702e-05,6.946346774659296e-05,6.729158198643827e-05,6.533593266056984e-05,6.358113722564095e-05,6.201362230800805e-05,6.062144745951521e-05,5.939415242089663e-05,5.8322625137755846e-05,5.739898818043114e-05,5.6616501571285686e-05
1,7.872005527201345e-05,7.685997013722358e-05,7.511027991459654e-05,7.346535097851539e-05,7.191995450831955e-05,7.046923884259394e-05,6.91087041169066e-05,6.783417899949005e-05,6.664179935644032e-05,6.552798869351783e-05,6.448944023573358e-05,6.352310051873528e-05,6.26261543776972e-05
2,7.927361541814586e-05,7.791063180107912e-05,7.660539440043235e-05,7.535576070747779e-05,7.415969851422023e-05,7.30152804370096e-05,7.19206787651349e-05,7.087416061519967e-05,6.987408337335233e-05,6.891889040863202e-05,6.800710704179989e-05,6.713733675506119e-05,6.630825762905137e-05
3,7.935979093942859e-05,7.807611416198166e-05,7.684369072928038e-05,7.566072905511086e-05,7.452552447853982e-05,7.343645519512765e-05,7.239197841573621e-05,7.139062674025013e-05,7.043100473432254e-05,6.951178569799892e-05,6.863170861576901e-05,6.778957527824919e-05,6.698424756631027e-05
4,7.955525182396727e-05,7.84485436271765e-05,7.737547456048695e-05,7.63350775711232e-05,7.532642185320607e-05,7.434861147766555e-05,7.340078408176708e-05,7.2482109615593e-05,7.159178914295148e-05,7.072905369430754e-05,6.989316316944854e-05,6.908340528770731e-05,6.82990945836718e-05
5,7.881240581390026e-05,7.70242709160249e-05,7.532759347279581e-05,7.371805657589339e-05,7.21916139737017e-05,7.074447323762179e-05,6.93730801487778e-05,6.807410421553617e-05,6.684442523952006e-05,6.568112085446298e-05,6.4581454968362e-05,6.35428670450075e-05,6.256296216613016e-05
6,7.985711792897442e-05,7.892628876391513e-05,7.790739964738895e-05,7.680403075154488e-05,7.562003812577517e-05,7.435953115154447e-05,7.302684867263995e-05,7.16265339957621e-05,7.016330896401399e-05,6.864204731136473e-05,6.706774750952333e-05,6.544550531985262e-05,6.378048626199606e-05
7,7.979459816022265e-05,7.882996383230862e-05,7.780515894726406e-05,7.672277856475293e-05,7.558554376588775e-05,7.439629021167026e-05,7.315795631770716e-05,7.187357111449308e-05,7.054624186372056e-05,6.917914150171732e-05,6.77754959812243e-05,6.633857158232128e-05,6.487166226238923e-05
8,7.974314961974908e-05,7.875371692121542e-05,7.772990326086714e-05,7.667334834446387e-05,7.558572972532426e-05,7.446875835926143e-05,7.332417411572518e-05,7.215374126165085e-05,7.09592439344234e-05,6.974248162019651e-05,6.850526465356436e-05,6.724940975426759e-05,6.597673561622995e-05
9,7.968131195485072e-05,7.866211669807544e-05,7.763949385847071e-05,7.661391534834933e-05,7.558584889971134e-05,7.455575772612823e-05,7.352410019368051e-05,7.249132950124605e-05,7.145789337041916e-05,7.04242337453225e-05,6.939078650255614e-05,6.835798117150992e-05,6.732624066524676e-05
10,7.985450091915457e-05,7.899636265141579e-05,7.812288992445625e-05,7.723479056959742e-05,7.633277845180062e-05,7.541757251719998e-05,7.448989584297331e-05,7.355047469129804e-05,7.260003756911128e-05,7.163931429536198e-05,7.066903507740716e-05,6.96899295981653e-05,6.870272611559705e-05
11,7.8598038597983e-05,7.6575678020789e-05,7.462642729166762e-05,7.274733239417971e-05,7.093557324071795e-05,6.91884571221043e-05,6.750341250100511e-05,6.587798313006886e-05,6.430982247680862e-05,6.279668843829975e-05,6.133643832974773e-05,5.992702413190626e-05,5.856648798319372e-05
12,7.887357213252224e-05,7.711205409090367e-05,7.540975204595346e-05,7.376446598136482e-05,7.217408910150195e-05,7.063660357739829e-05,6.915007650241459e-05,6.771265604662044e-05,6.632256779956452e-05,6.49781112916682e-05,6.367765668501119e-05,6.241964162478352e-05,6.120256824315353e-05
13,7.909548292079961e-05,7.755281439741157e-05,7.6066397652801e-05,7.463413262322588e-05,7.325401501133747e-05,7.192413171362903e-05,7.064265649089602e-05,6.940784586820421e-05,6.821803525166755e-05,6.707163525009307e-05,6.59671281902586e-05,6.490306481525444e-05,6.387806115594389e-05
14,7.920880082604195e-05,7.777260735370887e-05,7.638619512683136e-05,7.504781510337479e-05,7.375579394084082e-05,7.250853058051146e-05,7.130449300395201e-05,7.014221515270904e-05,6.902029400265237e-05,6.793738678489319e-05,6.689220834566484e-05,6.588352863798071e-05,6.491017033828712e-05
15,7.873599799975332e-05,7.677405938914762e-05,7.481326077612098e-05,7.285601268125674e-05,7.090465893550463e-05,6.896147251123022e-05,6.702865167748848e-05,6.510831648578922e-05,6.320250559102716e-05,6.131317341067093e-05,5.944218762375177e-05,5.759132700967203e-05,5.5762279625373785e-05
16,7.937947758835939e-05,7.800787191313886e-05,7.65853017109619e-05,7.51153708070602e-05,7.360175674861382e-05,7.204819545115862e-05,7.045846583095578e-05,6.883637451182004e-05,6.718574069287519e-05,6.551038126105056e-05,6.381409622888332e-05,6.21006545743889e-05,6.037378055544749e-05
17,7.947179113268352e-05,7.819737180084597e-05,7.687628603993204e-05,7.551154951372213e-05,7.410624189997254e-05,7.266349529287733e-05,7.11864825666101e-05,6.967840576048345e-05,6.814248454516244e-05,6.658194482787819e-05,6.500000755272332e-05,6.339987774989613e-05,6.178473388521566e-05
18,7.946444692612238e-05,7.819617417644179e-05,7.689409046714426e-05,7.556053555410833e-05,7.41978771132932e-05,7.280850374852618e-05,7.139481803855599e-05,6.995922965158238e-05,6.850414855469594e-05,6.703197834474581e-05,6.554510972610557e-05,6.404591415963749e-05,6.25367377058719e-05
19,7.960198275609502e-05,7.847730991974047e-05,7.732426176853485e-05,7.61445399730237e-05,7.493986729752524e-05,7.37119834151705e-05,7.246264073438396e-05,7.119360025076777e-05,6.990662743805472e-05,6.860348819144049e-05,6.728594483619528e-05,6.595575221399368e-05,6.461465385889048e-05
20,7.984225922099478e-05,7.896008589999604e-05,7.805119337709822e-05,7.711671638276054e-05,7.615781255704083e-05,7.517566005792764e-05,7.41714551487186e-05,7.314640977136195e-05,7.210174911264688e-05,7.103870917007268e-05,6.995853432414528e-05,6.886247492374578e-05,6.775178489108695e-05
21,7.697031230095611e-05,7.363474120815119e-05,7.065289745118237e-05,6.799251064249863e-05,6.562544839135392e-05,6.352721731236307e-05,6.167653734572053e-05,6.005497895657074e-05,5.864665448348637e-05,5.7437956336301944e-05,5.6417335950027493e-05,5.557511842413947e-05,5.490334864828267e-05
22,7.811041157528253e-05,7.572448414747128e-05,7.352523245896873e-05,7.150034446868437e-05,6.963867029764927e-05,6.793011970744966e-05,6.636557067220223e-05,6.493678788084243e-05,6.363635014648968e-05,6.245758582306751e-05,6.139451543836896e-05,6.0441800849261e-05,5.959470031036423e-05
23,7.894072394001697e-05,7.72784322996783e-05,7.570536015963335e-05,7.42174215582734e-05,7.281079575414396e-05,7.148191091908513e-05,7.022742904789734e-05,6.904423199539472e-05,6.792940855912141e-05,6.688024253280512e-05,6.589420166186218e-05,6.496892743799998e-05,6.410222567523224e-05
24,7.937884900208361e-05,7.810316485274525e-05,7.686820385101907e-05,7.567267204974274e-05,7.451532692263374e-05,7.339497525109353e-05,7.231047110880415e-05,7.126071393941505e-05,7.024464672286167e-05,6.926125422608888e-05,6.830956133417101e-05,6.738863145802682e-05,6.649756501512435e-05
