,0,1,2,3,4,5,6,7,8,9,10,11,12
0,581257201.648394,580515351.3197968,579187154.9089879,577276048.1674943,574787231.6093507,571727647.2138364,568105946.3489628,563932449.1216197,559219095.420745,553979387.9780966,548228327.8266658,541982342.5889695,535259208.0759362
1,582943678.889927,583888887.8998666,584391649.330102,584450481.1936086,584064911.772167,583235482.6892033,581963748.1349654,580252270.2413305,578104610.6240288,575525318.1304872,572519912.8516918,569094866.4763191,565257579.0847408
2,582516687.9808497,583033834.6669736,583199137.2776977,583012083.6818396,582472800.0363237,581582051.0479149,580341238.3059391,578752396.6903213,576818188.8674207,574541897.8942292,571927417.9594995,568979243.298218,565702455.3235126
3,581852592.5301229,581705222.3952323,581288541.511632,580603003.9627409,579649437.1846067,578429040.3388264,576943381.8252759,575194395.941775,573184378.7005801,570915982.8143218,568392211.8666791,565616413.6857054,562592272.9402614
4,573458895.9435793,565043136.3175755,556830127.669721,548814590.828839,540991407.1828271,533355613.45088845,525902396.64140487,518627089.1884887,511525164.2605207,504592231.23425204,497824031.32830125,491216433.39012253,484765429.8307548
5,576065686.9258435,570191882.565883,564485089.3620925,558941460.1798115,553557279.0700561,548328957.1394999,543253028.581914,538326146.8649443,533545081.0663768,528906712.354288,524408030.6057317,520046131.1588399,515818211.69344103
6,576932097.6753335,571908325.3059459,567025562.493903,562280920.552085,557671606.4175295,553194919.9187077,548848251.1455873,544629077.9189003,540534963.3551903,536563553.5243505,532712575.1965044,528979833.67521363,525363210.71412283
7,577233098.754568,572505241.0615134,567932910.6959676,563512968.0929122,559242392.6733872,555118279.404873,551137835.5077155,547298377.3023643,543597327.1924436,540032210.7789009,536600654.1007113,533300380.99782443,530129210.5922498
8,575412992.0894315,568900535.1637667,562644976.5176996,556639379.9150331,550877129.0931126,545351915.6194195,540057727.3812236,534988837.6788896,530139794.895128,525505412.7140834,521080760.8656708,516861156.37200975,512842155.27416945
9,551030683.6450576,521709302.95247334,493355348.5330726,465981779.1557097,439597521.98657155,414207646.5425024,389813551.30522865,366413161.0504728,344001132.9642676,322569069.65365463,302105737.20913357,282597286.5403789,264027476.2834233
10,568174685.1606637,554677788.41481,541085574.075912,527420691.0841463,513705413.83313555,499961584.25597376,486210556.9084272,472473147.22519356,458769583.1042711,445119459.9532179,431541699.3095343,418054511.12571865,404675359.7878909
11,571362994.1404259,560920397.0328391,550656115.4049134,540567349.1921569,530651337.7342024,520905359.3015055,511326730.6263415,501912806.43808496,492660979.00275606,483568677.6668179,474633368.4052074,465852553.3735825,457223770.46476877
12,571367401.8797815,560929051.4275804,550709386.3036174,540703391.5528338,530906175.82064253,521312968.11868674,511919114.6797123,502720075.89898455,493711423.35975647,484888836.9403712,476248102.00065374,467785106.6453162,459495839.0621705
13,571409036.0551014,561010801.5213405,550794623.2263297,540757449.1848462,530896276.09082943,521208148.5849897,511690158.5326817,502339444.3119122,493153190.11135185,484128625.23822284,475263023.4359346,466553702.21134275,457998022.1715067
14,555176722.5371863,529589679.1187833,505392861.39735466,482502918.4161696,460841902.5260078,440336896.15205383,420919665.7813006,402526341.0888941,385097117.2878888,368575978.9391609,352910443.5979301,338051323.8015405,323952506.02083194
15,576573701.9639432,571197996.2137561,566062281.0748005,561160904.6939938,556488501.6008093,552039982.9031054,547810527.0340464,543795571.0265235,539990802.2929281,536392150.8895099,532995782.2458541,529798090.3412604,526795691.3109906
16,584500876.8902787,587012500.1469154,589311535.9928039,591395321.195237,593261426.8099709,594907662.8851842,596332082.7309228,597532986.7424155,598508925.7667832,599258704.0038409,599781381.4328979,600076275.7587024,600142963.8709333
17,586665472.1358308,591368343.9799953,595826476.5073247,600033649.392168,603983952.0216762,607671797.2702326,611091934.6118118,614239462.5273843,617109840.1664988,619698898.224357,622002848.9980478,624018295.5881106,625742240.2142496
18,586707715.0899891,591453510.2166938,595969917.2474928,600250991.1556953,604291058.462074,608084729.7058754,611626911.3737694,614912817.2499506,617937979.152138,620698257.0198982,623189848.323528,625409296.7636738,627353500.2339207
19,584956654.7232196,587928329.7336426,590760192.7034575,593450041.0739304,595995773.3519162,598395391.8381118,600647005.23243,602748831.1117526,604699198.2755281,606496548.9549055,608139440.8813281,609626549.2107472,610956668.2998749
