,0,1,2,3,4,5,6,7,8,9,10,11
0,6.745234478822154e-05,6.493638878441114e-05,6.261962781589564e-05,6.0487114695080655e-05,5.8525356512309454e-05,5.6722172829981646e-05,5.5066569812536806e-05,5.354862847265688e-05,5.2159405442225305e-05,5.0890844875597695e-05,4.9735700266583704e-05,4.8687465112647523e-05
1,6.868547205309915e-05,6.720281658599789e-05,6.573644429776563e-05,6.428668979341809e-05,6.285386879227066e-05,6.143827824016632e-05,6.0040196441240615e-05,5.865988320861702e-05,5.7297580033408135e-05,5.59535102713817e-05,5.4627879346635835e-05,5.332087497161441e-05
2,6.903056147653849e-05,6.787856643153058e-05,6.672862998481121e-05,6.558129940718815e-05,6.443711085948105e-05,6.329658903555873e-05,6.216024682583308e-05,6.102858500137881e-05,5.99020919188092e-05,5.8781243245998354e-05,5.766650170870285e-05,5.655831685809705e-05
3,6.929789703525804e-05,6.839597282978572e-05,6.747918513691828e-05,6.654844056527262e-05,6.560465020911996e-05,6.464872817254655e-05,6.368159010696931e-05,6.270415176524577e-05,6.17173275755299e-05,6.072202923792972e-05,5.971916434691826e-05,5.8709635042337404e-05
4,6.898161871949141e-05,6.779891669584181e-05,6.663564255563762e-05,6.549149236396599e-05,6.436616667786709e-05,6.325937048433093e-05,6.217081313907965e-05,6.110020830612638e-05,6.0047273898101895e-05,5.901173201734036e-05,5.799330889771564e-05,5.699173484721946e-05
5,6.851890417824386e-05,6.690756002575452e-05,6.534807533539875e-05,6.383857950687805e-05,6.23772772334068e-05,6.096244523209018e-05,5.959242912636209e-05,5.826564047300248e-05,5.6980553926640945e-05,5.5735704535019694e-05,5.452968515863507e-05,5.336114400870508e-05
6,6.89611059298725e-05,6.775118876427847e-05,6.655436889925092e-05,6.537070379663445e-05,6.420024517412883e-05,6.30430390812437e-05,6.189912597732174e-05,6.076854081153782e-05,5.9651313104781694e-05,5.8547467033331754e-05,5.7457021514227454e-05,5.637999029224846e-05
7,6.915453383750318e-05,6.81266561614552e-05,6.710079996633764e-05,6.607733443661569e-05,6.50566218738283e-05,6.403901751690003e-05,6.302486937199482e-05,6.201451805196899e-05,6.1008296625465946e-05,6.000653047568188e-05,5.900953716881806e-05,5.801762633222158e-05
8,6.923652818288443e-05,6.828553015787562e-05,6.733155659095304e-05,6.637509646517813e-05,6.541663379921448e-05,6.44566472607975e-05,6.349560979179712e-05,6.253398824524258e-05,6.157224303465361e-05,6.061082779599753e-05,5.965018906256609e-05,5.8690765953040816e-05
9,6.914707505986439e-05,6.812145033241617e-05,6.710713272740297e-05,6.61040708353886e-05,6.51122120735658e-05,6.413150271521883e-05,6.316188791907683e-05,6.22033117585497e-05,6.125571725083809e-05,6.031904638590937e-05,5.9393240155331574e-05,5.847823858095767e-05
