,0,1,2,3,4,5,6,7,8,9,10,11,12
0,7.955619071958249e-11,7.654264939708942e-11,7.381198007755503e-11,7.134142945956777e-11,6.911082624065613e-11,6.710230546052365e-11,6.53000687050301e-11,6.369017564108049e-11,6.226036300760441e-11,6.099988774968757e-11,5.989939146633091e-11,5.895078375964956e-11,5.81471424350751e-11
1,8.08482710757998e-11,7.893789808785016e-11,7.714090456531233e-11,7.545150457613326e-11,7.386432793721648e-11,7.237439182130281e-11,7.097707470903301e-11,6.966809249567267e-11,6.844347657951969e-11,6.729955377494452e-11,6.623292790749361e-11,6.524046296166466e-11,6.43192676639675e-11
2,8.141679685486111e-11,8.0016964644839e-11,7.867643983421581e-11,7.739302199102025e-11,7.616462396602061e-11,7.498926626828199e-11,7.386507177449062e-11,7.279026075232677e-11,7.176314617947462e-11,7.07821293410774e-11,6.984569568958508e-11,6.89524109520053e-11,6.810091747056259e-11
3,8.150530215228107e-11,8.018692086153984e-11,7.892117856216135e-11,7.770623523196348e-11,7.654034012409085e-11,7.542182758822709e-11,7.434911312555522e-11,7.332068966444153e-11,7.233512404463283e-11,7.139105369851928e-11,7.048718351873019e-11,6.962228290200035e-11,6.879518295987368e-11
4,8.170604736928192e-11,8.056941904773449e-11,7.946733929833656e-11,7.839881492380617e-11,7.736288995370123e-11,7.635864423729186e-11,7.538519209765758e-11,7.444168104427976e-11,7.352729054153266e-11,7.264123083060325e-11,7.178274180248999e-11,7.095109191984497e-11,7.014557718553229e-11
5,8.094311833700486e-11,7.910664077809083e-11,7.7364093248311e-11,7.571104213068135e-11,7.414333178219132e-11,7.265706724501415e-11,7.124859821110385e-11,6.99145041481771e-11,6.865158050253648e-11,6.745682590103408e-11,6.632743028075547e-11,6.526076388077303e-11,6.425436703562068e-11
6,8.201607449771676e-11,8.106008014021878e-11,8.001364510908921e-11,7.88804463673002e-11,7.766444421347536e-11,7.636985912720484e-11,7.500114725397084e-11,7.356297472987339e-11,7.206019105419011e-11,7.049780172347108e-11,6.888094034432133e-11,6.721484044324917e-11,6.550480719097557e-11
7,8.195186449183993e-11,8.096115104070312e-11,7.990864030681721e-11,7.87969975079141e-11,7.762901729019477e-11,7.640761197744448e-11,7.513579942604917e-11,7.38166905570782e-11,7.245347663779827e-11,7.104941638564093e-11,6.960782296776262e-11,6.813205096891795e-11,6.662548339942531e-11
8,8.18990250275854e-11,8.08828427758594e-11,7.983135006467005e-11,7.874623092962024e-11,7.762920827708982e-11,7.648203931899765e-11,7.530651096258646e-11,7.410443517217648e-11,7.287764431973997e-11,7.16279865409756e-11,7.035732111331277e-11,6.906751387195133e-11,6.776043267964673e-11
9,8.183551556640523e-11,8.078876611845061e-11,7.973849642213269e-11,7.868519114802821e-11,7.762933067338536e-11,7.6571390734867e-11,7.551184209059189e-11,7.445115019177958e-11,7.338977486428636e-11,7.232817000030152e-11,7.126678326045485e-11,7.02060557865675e-11,6.914642192525971e-11
10,8.201338673640113e-11,8.113204849227864e-11,8.023496121810787e-11,7.93228518816019e-11,7.839645364723456e-11,7.745650489802326e-11,7.650374825971286e-11,7.553892962915501e-11,7.456279720864874e-11,7.357610054797544e-11,7.25795895958253e-11,7.157401376227161e-11,7.05601209939058e-11
11,8.072295565136706e-11,7.864592006503509e-11,7.6643970869266e-11,7.47140741850691e-11,7.285333368308405e-11,7.105898385608649e-11,6.932838364460671e-11,6.76590103960498e-11,6.604845413885341e-11,6.449441215429604e-11,6.299468382957963e-11,6.15471657767604e-11,6.014984720299355e-11
12,8.100593830189908e-11,7.919679719241206e-11,7.744847299843817e-11,7.575870622569571e-11,7.412533312081744e-11,7.254628130234084e-11,7.101956560702647e-11,6.954328414027219e-11,6.811561452000941e-11,6.673481030405165e-11,6.539919759141477e-11,6.410717178864728e-11,6.285719453269705e-11
13,8.123384850220698e-11,7.964947356080217e-11,7.812287117866934e-11,7.665188451633343e-11,7.523445508978031e-11,7.386861807428554e-11,7.255249785782436e-11,7.128430383019444e-11,7.006232639480996e-11,6.88849331909012e-11,6.775056551458201e-11,6.665773492793034e-11,6.560502004586789e-11
14,8.135022998452575e-11,7.987520867302828e-11,7.84513144550418e-11,7.707675100275569e-11,7.574979973445097e-11,7.446881630639853e-11,7.32322272816734e-11,7.203852696657597e-11,7.088627440587811e-11,6.977409052860815e-11,6.870065543655535e-11,6.766470582811424e-11,6.666503255050306e-11
15,8.086464481905426e-11,7.884966472184489e-11,7.683585544232588e-11,7.482569267008969e-11,7.282158360212475e-11,7.08258626611563e-11,6.884078754697685e-11,6.68685356272034e-11,6.491120067226066e-11,6.297078993776798e-11,6.104922159591258e-11,5.914832251582975e-11,5.7269826391490777e-11
16,8.152552103454471e-11,8.011683366693358e-11,7.8655803934008e-11,7.714613309128959e-11,7.559159810933919e-11,7.399603590507606e-11,7.236332755867985e-11,7.06973826069642e-11,6.900212350202832e-11,6.728147032126626e-11,6.553932581147658e-11,6.377956084591029e-11,6.200600036866343e-11
17,8.1620330297949e-11,8.031145673010646e-11,7.895465509494907e-11,7.755302258545956e-11,7.610972213923001e-11,7.462797052738131e-11,7.31110264035106e-11,7.156217837484055e-11,6.99847331566143e-11,6.838200386924802e-11,6.675729853583977e-11,6.511390883535728e-11,6.345509916421462e-11
18,8.161278753898065e-11,8.031022672763579e-11,7.897294086917303e-11,7.76033329753391e-11,7.62038347327875e-11,7.477689932182984e-11,7.332499427551455e-11,7.185059440800612e-11,7.035617484044046e-11,6.884420415149102e-11,6.731713767880445e-11,6.57774109962631e-11,6.422743359071327e-11
19,8.17540416835038e-11,8.059896304400102e-11,7.9414741956122e-11,7.820312609548852e-11,7.69658848017704e-11,7.570480478058404e-11,7.442168581714112e-11,7.311833651598733e-11,7.179657008086644e-11,7.045820014837939e-11,6.910503668868789e-11,6.77388819860372e-11,6.636152671134851e-11
20,8.200081408095988e-11,8.109479099007796e-11,8.016132633718746e-11,7.920158553046104e-11,7.821675750703648e-11,7.720805227668959e-11,7.617669844398662e-11,7.512394071602057e-11,7.405103740280293e-11,7.29592579173254e-11,7.184988028222299e-11,7.072418864986228e-11,6.958347084254749e-11
21,7.905122337876505e-11,7.56254743117472e-11,7.256301568495803e-11,6.98307046730854e-11,6.73996483193702e-11,6.524469105380753e-11,6.334397750500922e-11,6.167857989117106e-11,6.023218102408226e-11,5.899080542907394e-11,5.7942592322898184e-11,5.7077605241747184e-11,5.638767400692616e-11
22,8.022214551373508e-11,7.777171395872259e-11,7.551300496694704e-11,7.343337363829828e-11,7.152136865412276e-11,6.97666269839618e-11,6.815977998574793e-11,6.669236970478281e-11,6.535677432059704e-11,6.41461418175429e-11,6.30543310669308e-11,6.207585960763225e-11,6.120585750003045e-11
23,8.107490557481071e-11,7.936767347644966e-11,7.775207294923106e-11,7.622390756658219e-11,7.477925329237588e-11,7.341444173321082e-11,7.212604464010659e-11,7.091085956806527e-11,6.976589660956589e-11,6.868836612504023e-11,6.767566739978724e-11,6.672537816267009e-11,6.58352449073517e-11
