,Country name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,Aruba,423062976.0,427869478.0,432866131.0,437245901.0,44130957.0,444819076.0,1316337457.0,1350553194.0,358990001.0,409505485.0,424783771.0,519001013.0,564023574.0,530385687.0,571038292.0,642147964.0,43585886.0,616928696.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,Afghanistan,143066163.0,143917782.0,13040848.0,135357541.0,149459682.0,14574164.0,14746851.0,15247281.0,15112318.0,14923075.0,15691266.0,15810335.0,15615333.0,1532253.0,142787921.0,135457369.0,122694624.0,124005073.0,129592948.0,12348957.0,125280165.0,123070638.0,113704531.0,113908748.0,112906882.0,116356594.0,125059308.0,1334325.0,13793367.0,14812366.0,13530953.0,12585402.0,138427381.0,14709884.0,14654374.0,147702643.0,148491594.0,15272633.0,152887756.0,155544294997907.0,177913299018728.0,179813072867677.0,1816886.0
2,Angola,6064860108.0,3916217143.0,422056507.0,4425266912.0,401792335.0,4442930003.0,3844802409.0,4356341218.0,4623511458.0,5664465197.0,4800186616.0,4189479496.0,4524380208.0,4485206032.0,3587830078.0,3671419083.0,3598241365.0,4672125774.0,357367658.0,3934298618.0,508065426914.0,43761081269.0,6499783986.0,3977510719.0,44657243349.0,48230298638.0,47136215785.0,3309122462.0,352751251.0,361194252.0,347806811.0,343718411.0,34490369.0,35858015.0,368602334.0,358557384.0,36375822.0,36690534.0,37396294.0,383094651264052.0,400293921005695.0,408786519582578.0,416571648460299.0
3,Albania,69608682.0,69500361.0,76132661.0,73484921.0,76326643.0,7873037.0,84709784.0,89489809.0,99960562.0,112483583.0,114335842.0,105203625.0,107305261.0,115675737.0,122152375.0,118215831.0,12079105.0,121754832.0,126038867.0,125527369.0,1111272956.0,82736324.0,62271532.0,60671799.0,67937963.0,64215713.0,61873841.0,5500607.0,52461311.0,64934872.0,83892767.0,68206244.0,750305976.0,78340157.0,740110155.0,83083856.0,802714955.0,98793935.0,8136785.0,810881238694848.0,850699603431525.0,871229636455369.0,889864091140274.0
4,Andorra,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,Arab World,552362062026.0,576946152269.0,625015943839.0,699280217253.0,679448005841.0,683966235399.0,775863729505.0,7999710408.0,827155739.0,88370702879.0,92771423694.0,83892140287.0,88851974506.0,90270557708.0,88882586564.0,74059716293.0,76953709992.0,77481232342.0,80373885509.0,84121094186.0,8038989680917.0,844941021556.0,842557509374.0,88856000532.0,92011069303.0,122923039782.0,125806856858.0,126867780157.0,174381420998.0,179089701402.0,185037815901.0,178702604210762.0,19275441554865.0,196319301545.0,166058694882.0,176787864478.0,173128879166.0,235548134745.0,236408866275.0,238750201095604.0,192424497278668.0,248334910406116.0,190869604241466.0
6,United Arab Emirates,3296218941.0,4137784513.0,4490546275.0,5687550782.0,5741152655.0,5779860342.0,703526192.0,696464002.0,786300426.0,572264289.0,601729218.0,539248253.0,527586888.0,509993789.0,666207794.0,67746709.0,6488031.0,622900822.0,647509019.0,71801913.0,724985763.0,8000830573.0,7875969917.0,813257913.0,8801456243.0,9390401287.0,1030346521.0,10190138443.0,1049932009.0,1072079329.0,1154205144.0,1150188197.0,1268002057.0,1340916856.0,1399994635.0,1433676627.0,15183732.0,1679864324.0,1813885363.0,182422169198051.0,193127157628676.0,199342522558574.0,204888718962496.0
7,Argentina,221957023.0,21355178842.0,22391227884.0,2269560333.0,22945638.0,23341677.0,24705166.0,24737086.0,24823832.0,25592006.0,25387099.0,24577676.0,24361302.0,24868179.0,24311157.0,23814575.0,25078528.0,25695381.0,26624522.0,2656083.0,26655503.0,2671887341.0,2721391851.0,2765227527.0,2709483575.0,2750964092.0,2882462679.0,29970876.0,3115147.0,33388659.0,33145087.0,32648381.0,31105193.0,34479706.0,36994411.0,35838564.0,37360056.0,38454775.0,41150363.0,373409065636756.0,364684253845885.0,37287314375805.0,380295320368897.0
8,Armenia,62459877.0,6383672.0,67508237.0,73717577.0,79838753.0,11627038.0,119293886.0,124133746.0,129153444.0,134688879.0,145083336.0,150645702.0,157649062.0,159287094.0,159932273.0,162618193.0,164857384.0,164650412.0,176135979.0,174598322.0,247299166.0,254256997.0,145125941.0,83629081.0,61075421.0,67103697.0,5992235.0,67195874.0,6737042.0,63890077.0,68677102.0,68964518.0,64602393.0,697388104.0,7633471.0,84018162.0,87435088.0,932371758.0,12469983.0,112350892664869.0,113930393525219.0,124177361164488.0,123193896093062.0
9,American Samoa,130733582.0,132473257.0,13448115.0,136753294.0,139088347.0,14192873.0,143835222.0,146498031.0,147537624.0,149500365.0,154709087.0,165597081.0,160547171.0,167070476.0,173836372.0,180264089.0,186707899.0,193524242.0,200081174.0,207495349.0,203813783.0,209670057.0,215104445.0,219988903.0,224541277.0,228843444.0,23263078.0,236153334.0,239290422.0,31135678.0,47656033.0,50883203.0,5134821.0,51838339.0,52320385.0,52801179.0,5330204.0,53913983.0,54616323.0,549893494063012.0,566374866017899.0,577435092847854.0,587655192902151.0
